fips,county,state,date_min,date_max,n_months,n_hurricanes,hurricane_names
01001,Autauga County,AL,2000-01-31,2026-02-28,314,4,HURRICANE ZETA; HURRICANE NATE; HURRICANE IVAN; HURRICANE DENNIS
01003,Baldwin County,AL,2000-01-31,2026-02-28,314,9,HURRICANE SALLY; HURRICANE ISAAC; HURRICANE NATE; HURRICANE IVAN; TROPICAL STORM IDA; HURRICANE GUSTAV; HURRICANE KATRINA; HURRICANE DENNIS; TROPICAL STORM ISIDORE
01005,Barbour County,AL,2016-02-29,2026-02-28,121,3,HURRICANE SALLY; HURRICANE IVAN; HURRICANE DENNIS
01007,Bibb County,AL,2011-11-30,2026-02-28,172,3,HURRICANE IVAN; HURRICANE KATRINA; HURRICANE DENNIS
01009,Blount County,AL,2001-03-31,2026-02-28,300,1,HURRICANE IVAN
01011,Bullock County,AL,2016-02-29,2026-02-28,121,2,HURRICANE IVAN; HURRICANE DENNIS
01013,Butler County,AL,2008-01-31,2026-02-28,218,4,HURRICANE ZETA; HURRICANE SALLY; HURRICANE IVAN; HURRICANE DENNIS
01015,Calhoun County,AL,2010-11-30,2026-02-28,184,2,HURRICANE ZETA; HURRICANE IVAN
01017,Chambers County,AL,2009-04-30,2026-02-28,203,2,HURRICANE IVAN; HURRICANE DENNIS
01019,Cherokee County,AL,2010-02-28,2026-02-28,193,2,HURRICANE ZETA; HURRICANE IVAN
01021,Chilton County,AL,2009-03-31,2026-02-28,204,3,HURRICANE ZETA; HURRICANE IVAN; HURRICANE DENNIS
01023,Choctaw County,AL,2022-02-28,2026-02-28,49,5,HURRICANE ZETA; HURRICANE NATE; HURRICANE IVAN; HURRICANE KATRINA; HURRICANE DENNIS
01025,Clarke County,AL,2016-02-29,2026-02-28,121,6,HURRICANE ZETA; HURRICANE SALLY; HURRICANE NATE; HURRICANE IVAN; HURRICANE KATRINA; HURRICANE DENNIS
01027,Clay County,AL,2013-07-31,2026-02-28,152,3,HURRICANE ZETA; HURRICANE IVAN; HURRICANE DENNIS
01029,Cleburne County,AL,2002-04-30,2026-02-28,283,2,HURRICANE IVAN; HURRICANE DENNIS
01031,Coffee County,AL,2012-06-30,2026-02-28,165,3,HURRICANE SALLY; HURRICANE IVAN; HURRICANE DENNIS
01033,Colbert County,AL,2015-04-30,2026-02-28,131,2,HURRICANE IVAN; HURRICANE KATRINA
01035,Conecuh County,AL,2016-02-29,2026-02-28,121,3,HURRICANE SALLY; HURRICANE IVAN; HURRICANE DENNIS
01037,Coosa County,AL,2008-07-31,2026-02-28,212,3,HURRICANE ZETA; HURRICANE IVAN; HURRICANE DENNIS
01039,Covington County,AL,2014-11-30,2026-02-28,136,4,HURRICANE SALLY; HURRICANE ISAAC; HURRICANE IVAN; HURRICANE DENNIS
01041,Crenshaw County,AL,2012-05-31,2026-02-28,166,3,HURRICANE SALLY; HURRICANE IVAN; HURRICANE DENNIS
01043,Cullman County,AL,2000-04-30,2026-02-28,311,2,HURRICANE IVAN; HURRICANE KATRINA
01045,Dale County,AL,2003-03-31,2026-02-28,276,3,HURRICANE MICHAEL; HURRICANE IVAN; HURRICANE DENNIS
01047,Dallas County,AL,2000-01-31,2026-02-28,312,5,HURRICANE ZETA; HURRICANE ISAAC; HURRICANE NATE; HURRICANE IVAN; HURRICANE DENNIS
01049,De Kalb County,AL,2000-05-31,2026-02-28,310,1,HURRICANE IVAN
01051,Elmore County,AL,2009-03-31,2026-02-28,204,3,HURRICANE ZETA; HURRICANE IVAN; HURRICANE DENNIS
01053,Escambia County,AL,2012-01-31,2026-02-28,170,3,HURRICANE SALLY; HURRICANE IVAN; HURRICANE DENNIS
01055,Etowah County,AL,2002-05-31,2026-02-28,286,1,HURRICANE IVAN
01057,Fayette County,AL,2012-01-31,2026-02-28,170,1,HURRICANE IVAN
01059,Franklin County,AL,2014-08-31,2026-02-28,139,1,HURRICANE IVAN
01061,Geneva County,AL,2016-02-29,2026-02-28,121,5,HURRICANE SALLY; HURRICANE MICHAEL; HURRICANE ISAAC; HURRICANE IVAN; HURRICANE DENNIS
01063,Greene County,AL,2012-01-31,2026-02-28,170,3,HURRICANE IVAN; HURRICANE KATRINA; HURRICANE DENNIS
01065,Hale County,AL,2008-11-30,2026-02-28,208,4,HURRICANE ZETA; HURRICANE IVAN; HURRICANE KATRINA; HURRICANE DENNIS
01067,Henry County,AL,2001-12-31,2026-02-28,287,3,HURRICANE MICHAEL; HURRICANE IVAN; HURRICANE DENNIS
01069,Houston County,AL,2010-11-30,2026-02-28,184,4,HURRICANE SALLY; HURRICANE MICHAEL; HURRICANE IVAN; HURRICANE DENNIS
01071,Jackson County,AL,2009-12-31,2026-02-28,195,1,HURRICANE IVAN
01073,Jefferson County,AL,2001-09-30,2026-02-28,294,3,HURRICANE IVAN; HURRICANE KATRINA; HURRICANE DENNIS
01075,Lamar County,AL,2012-01-31,2026-02-28,170,2,HURRICANE IVAN; HURRICANE KATRINA
01077,Lauderdale County,AL,2010-03-31,2026-02-28,192,2,HURRICANE IVAN; HURRICANE KATRINA
01079,Lawrence County,AL,2012-01-31,2026-02-28,170,1,HURRICANE IVAN
01081,Lee County,AL,2000-01-31,2026-02-28,311,2,HURRICANE IVAN; HURRICANE DENNIS
01083,Limestone County,AL,2016-02-29,2026-02-28,121,1,HURRICANE IVAN
01085,Lowndes County,AL,2007-04-30,2026-02-28,227,3,HURRICANE ZETA; HURRICANE IVAN; HURRICANE DENNIS
01087,Macon County,AL,2016-02-29,2026-02-28,121,3,HURRICANE NATE; HURRICANE IVAN; HURRICANE DENNIS
01089,Madison County,AL,2000-08-31,2026-02-28,302,1,HURRICANE IVAN
01091,Marengo County,AL,2014-05-31,2026-02-28,142,4,HURRICANE ZETA; HURRICANE IVAN; HURRICANE KATRINA; HURRICANE DENNIS
01093,Marion County,AL,2011-06-30,2026-02-28,177,2,HURRICANE IVAN; HURRICANE KATRINA
01095,Marshall County,AL,2009-01-31,2026-02-28,206,1,HURRICANE IVAN
01097,Mobile County,AL,2000-01-31,2026-02-28,314,11,HURRICANE ZETA; HURRICANE SALLY; HURRICANE MICHAEL; HURRICANE ISAAC; HURRICANE NATE; HURRICANE IVAN; TROPICAL STORM IDA; HURRICANE GUSTAV; HURRICANE KATRINA; HURRICANE DENNIS; TROPICAL STORM ISIDORE
01099,Monroe County,AL,2016-02-29,2026-02-28,121,6,HURRICANE ZETA; HURRICANE SALLY; HURRICANE ISAAC; HURRICANE IVAN; HURRICANE KATRINA; HURRICANE DENNIS
01101,Montgomery County,AL,2000-01-31,2026-02-28,314,2,HURRICANE IVAN; HURRICANE DENNIS
01103,Morgan County,AL,2006-08-31,2026-02-28,234,1,HURRICANE IVAN
01105,Perry County,AL,2016-02-29,2026-02-28,121,5,HURRICANE ZETA; HURRICANE ISAAC; HURRICANE IVAN; HURRICANE KATRINA; HURRICANE DENNIS
01107,Pickens County,AL,2012-01-31,2026-02-28,170,4,HURRICANE ISAAC; HURRICANE IVAN; HURRICANE KATRINA; HURRICANE DENNIS
01109,Pike County,AL,2016-02-29,2026-02-28,121,3,HURRICANE SALLY; HURRICANE IVAN; HURRICANE DENNIS
01111,Randolph County,AL,2012-01-31,2026-02-28,170,3,HURRICANE ZETA; HURRICANE IVAN; HURRICANE DENNIS
01113,Russell County,AL,2011-08-31,2026-02-28,175,2,HURRICANE IVAN; HURRICANE DENNIS
01115,Saint Clair County,AL,2009-01-31,2026-02-28,206,1,HURRICANE IVAN
01117,Shelby County,AL,2001-10-31,2026-02-28,293,2,HURRICANE IVAN; HURRICANE DENNIS
01119,Sumter County,AL,2016-02-29,2026-02-28,121,3,HURRICANE IVAN; HURRICANE KATRINA; HURRICANE DENNIS
01121,Talladega County,AL,2000-11-30,2026-02-28,304,3,HURRICANE ZETA; HURRICANE IVAN; HURRICANE DENNIS
01123,Tallapoosa County,AL,2005-08-31,2026-02-28,247,2,HURRICANE IVAN; HURRICANE DENNIS
01125,Tuscaloosa County,AL,2000-01-31,2026-02-28,314,3,HURRICANE IVAN; HURRICANE KATRINA; HURRICANE DENNIS
01127,Walker County,AL,2000-01-31,2026-02-28,310,1,HURRICANE IVAN
01129,Washington County,AL,2016-02-29,2026-02-28,121,5,HURRICANE ZETA; HURRICANE NATE; HURRICANE IVAN; HURRICANE KATRINA; HURRICANE DENNIS
01131,Wilcox County,AL,2016-02-29,2026-02-28,121,4,HURRICANE ZETA; HURRICANE IVAN; HURRICANE KATRINA; HURRICANE DENNIS
01133,Winston County,AL,2005-05-31,2026-02-28,250,2,HURRICANE IVAN; HURRICANE KATRINA
05003,Ashley County,AR,2000-01-31,2026-02-28,314,1,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV
05011,Bradley County,AR,2016-01-31,2026-02-28,122,1,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV
05013,Calhoun County,AR,2010-10-31,2026-02-28,185,1,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV
05017,Chicot County,AR,2013-06-30,2026-02-28,153,1,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV
05019,Clark County,AR,2000-01-31,2026-02-28,314,1,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV
05025,Cleveland County,AR,2014-10-31,2026-02-28,137,1,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV
05029,Conway County,AR,2000-01-31,2026-02-28,314,1,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV
05039,Dallas County,AR,2003-03-31,2026-02-28,276,1,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV
05043,Drew County,AR,2000-01-31,2026-02-28,311,1,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV
05051,Garland County,AR,2000-01-31,2026-02-28,314,1,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV
05053,Grant County,AR,2016-02-29,2026-02-28,121,1,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV
05059,Hot Spring County,AR,2000-01-31,2026-02-28,314,1,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV
05079,Lincoln County,AR,2014-02-28,2026-02-28,145,1,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV
05097,Montgomery County,AR,2000-01-31,2026-02-28,314,1,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV
05105,Perry County,AR,2000-01-31,2026-02-28,314,1,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV
05117,Prairie County,AR,2014-01-31,2026-02-28,146,1,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV
05125,Saline County,AR,2000-01-31,2026-02-28,314,1,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV
05141,Van Buren County,AR,2000-01-31,2026-02-28,314,1,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV
06025,Imperial County,CA,2001-01-31,2026-02-28,301,1,TROPICAL STORM HILARY
06027,Inyo County,CA,2016-01-31,2026-02-28,122,1,TROPICAL STORM HILARY
06029,Kern County,CA,2000-01-31,2026-02-28,314,1,TROPICAL STORM HILARY
06065,Riverside County,CA,2000-01-31,2026-02-28,314,1,TROPICAL STORM HILARY
06093,Siskiyou County,CA,2005-02-28,2026-02-28,253,1,TROPICAL STORM HILARY
