fips,disaster_number,disaster_name,declaration_date,begin_date,end_date
48001,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48005,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48007,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48041,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48051,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48057,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48061,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48063,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48067,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48073,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48089,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48123,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48149,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48161,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48175,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48183,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48185,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48199,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48203,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48215,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48225,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48273,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48285,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48287,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48289,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48313,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48315,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48331,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48343,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48351,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48355,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48365,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48391,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48395,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48401,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48403,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48405,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48409,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48457,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48459,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48469,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48477,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48479,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48489,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48015,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48037,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48039,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48071,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48157,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48167,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48201,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48239,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48241,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48245,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48291,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48321,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48339,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48347,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48361,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48373,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48407,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48419,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48455,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48471,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48473,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
48481,4798,HURRICANE BERYL,2024-07-09,2024-07-05,2024-07-09
12001,4680,HURRICANE NICOLE,2022-12-13,2022-11-07,2022-11-30
12003,4680,HURRICANE NICOLE,2022-12-13,2022-11-07,2022-11-30
12007,4680,HURRICANE NICOLE,2022-12-13,2022-11-07,2022-11-30
12011,4680,HURRICANE NICOLE,2022-12-13,2022-11-07,2022-11-30
12013,4680,HURRICANE NICOLE,2022-12-13,2022-11-07,2022-11-30
12015,4680,HURRICANE NICOLE,2022-12-13,2022-11-07,2022-11-30
12017,4680,HURRICANE NICOLE,2022-12-13,2022-11-07,2022-11-30
12019,4680,HURRICANE NICOLE,2022-12-13,2022-11-07,2022-11-30
12021,4680,HURRICANE NICOLE,2022-12-13,2022-11-07,2022-11-30
12023,4680,HURRICANE NICOLE,2022-12-13,2022-11-07,2022-11-30
12027,4680,HURRICANE NICOLE,2022-12-13,2022-11-07,2022-11-30
12029,4680,HURRICANE NICOLE,2022-12-13,2022-11-07,2022-11-30
12031,4680,HURRICANE NICOLE,2022-12-13,2022-11-07,2022-11-30
12037,4680,HURRICANE NICOLE,2022-12-13,2022-11-07,2022-11-30
12039,4680,HURRICANE NICOLE,2022-12-13,2022-11-07,2022-11-30
12041,4680,HURRICANE NICOLE,2022-12-13,2022-11-07,2022-11-30
12043,4680,HURRICANE NICOLE,2022-12-13,2022-11-07,2022-11-30
12045,4680,HURRICANE NICOLE,2022-12-13,2022-11-07,2022-11-30
12047,4680,HURRICANE NICOLE,2022-12-13,2022-11-07,2022-11-30
